epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,230036,nan,nan,nan,0.86399,0.63372,0.71331,0.418,nan,nan,nan,0.002575,0.002575,0.002575
152,231298,nan,nan,nan,0.86435,0.63326,0.71349,0.41809,nan,nan,nan,0.0025255,0.0025255,0.0025255
153,232562,nan,nan,nan,0.8642,0.63383,0.71344,0.41808,nan,nan,nan,0.002476,0.002476,0.002476
154,233824,nan,nan,nan,0.8644,0.63321,0.71345,0.41807,nan,nan,nan,0.0024265,0.0024265,0.0024265
155,235088,nan,nan,nan,0.86381,0.63368,0.71333,0.41797,nan,nan,nan,0.002377,0.002377,0.002377
156,236351,nan,nan,nan,0.86397,0.63399,0.71335,0.41809,nan,nan,nan,0.0023275,0.0023275,0.0023275
157,237614,nan,nan,nan,0.86376,0.63388,0.7133,0.41799,nan,nan,nan,0.002278,0.002278,0.002278
158,238877,nan,nan,nan,0.86407,0.63383,0.71336,0.4181,nan,nan,nan,0.0022285,0.0022285,0.0022285
159,240140,nan,nan,nan,0.86396,0.63379,0.71344,0.418,nan,nan,nan,0.002179,0.002179,0.002179
160,241402,nan,nan,nan,0.86393,0.63377,0.71328,0.418,nan,nan,nan,0.0021295,0.0021295,0.0021295
161,242665,nan,nan,nan,0.86407,0.63374,0.71333,0.41805,nan,nan,nan,0.00208,0.00208,0.00208
162,243928,nan,nan,nan,0.86387,0.63377,0.71335,0.41797,nan,nan,nan,0.0020305,0.0020305,0.0020305
163,245191,nan,nan,nan,0.86434,0.6333,0.71328,0.4181,nan,nan,nan,0.001981,0.001981,0.001981
164,246454,nan,nan,nan,0.86401,0.63383,0.71329,0.41809,nan,nan,nan,0.0019315,0.0019315,0.0019315
165,247717,nan,nan,nan,0.86428,0.6333,0.71337,0.41806,nan,nan,nan,0.001882,0.001882,0.001882
166,248979,nan,nan,nan,0.86388,0.63374,0.71334,0.41809,nan,nan,nan,0.0018325,0.0018325,0.0018325
167,250242,nan,nan,nan,0.86445,0.6332,0.71324,0.41805,nan,nan,nan,0.001783,0.001783,0.001783
168,251504,nan,nan,nan,0.86423,0.63341,0.71331,0.41802,nan,nan,nan,0.0017335,0.0017335,0.0017335
169,252768,nan,nan,nan,0.86441,0.63326,0.71343,0.41801,nan,nan,nan,0.001684,0.001684,0.001684
170,254030,nan,nan,nan,0.86397,0.63384,0.71338,0.41804,nan,nan,nan,0.0016345,0.0016345,0.0016345
171,255293,nan,nan,nan,0.86441,0.63336,0.71336,0.4181,nan,nan,nan,0.001585,0.001585,0.001585
172,256555,nan,nan,nan,0.86416,0.63336,0.71333,0.41798,nan,nan,nan,0.0015355,0.0015355,0.0015355
173,257818,nan,nan,nan,0.86442,0.63341,0.7133,0.41804,nan,nan,nan,0.001486,0.001486,0.001486
174,259080,nan,nan,nan,0.86428,0.6333,0.71334,0.41805,nan,nan,nan,0.0014365,0.0014365,0.0014365
175,260345,nan,nan,nan,0.86391,0.63399,0.71339,0.41799,nan,nan,nan,0.001387,0.001387,0.001387
176,261610,nan,nan,nan,0.86452,0.63348,0.71332,0.41799,nan,nan,nan,0.0013375,0.0013375,0.0013375
177,262872,nan,nan,nan,0.86397,0.63384,0.7133,0.418,nan,nan,nan,0.001288,0.001288,0.001288
178,264133,nan,nan,nan,0.86396,0.63379,0.7133,0.41805,nan,nan,nan,0.0012385,0.0012385,0.0012385
179,265396,nan,nan,nan,0.86387,0.63377,0.71336,0.41799,nan,nan,nan,0.001189,0.001189,0.001189
180,266659,nan,nan,nan,0.86409,0.63326,0.71328,0.41799,nan,nan,nan,0.0011395,0.0011395,0.0011395
181,267923,nan,nan,nan,0.86399,0.63363,0.71336,0.41802,nan,nan,nan,0.00109,0.00109,0.00109
182,269185,nan,nan,nan,0.86428,0.63326,0.71336,0.41802,nan,nan,nan,0.0010405,0.0010405,0.0010405
183,270448,nan,nan,nan,0.86387,0.63377,0.71332,0.41793,nan,nan,nan,0.000991,0.000991,0.000991
184,271711,nan,nan,nan,0.86416,0.63399,0.71342,0.4181,nan,nan,nan,0.0009415,0.0009415,0.0009415
185,272974,nan,nan,nan,0.86415,0.63393,0.71345,0.41791,nan,nan,nan,0.000892,0.000892,0.000892
186,274237,nan,nan,nan,0.86399,0.63363,0.71345,0.41798,nan,nan,nan,0.0008425,0.0008425,0.0008425
187,275500,nan,nan,nan,0.86369,0.63444,0.71335,0.41797,nan,nan,nan,0.000793,0.000793,0.000793
