case,distribution,tokens,routed_m,skew_ratio,op,candidate_set,best_ms,mfu_percent,best_config,tile_m,tile_n,tile_k,num_warps,pingpong,is_dynamic_persistent,cluster_m,cluster_n,cluster_k,swap_ab,max_swizzle_size,device_capacity,use_tma_gather
online_min,balanced,12176,14395,1.0003473428273706,gated,before,0.5026295900344848,54.65623901532596,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
online_min,balanced,12176,14395,1.0003473428273706,gated,current_after,0.5026295900344848,54.65623901532596,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
online_min,balanced,12176,14395,1.0003473428273706,gated,expanded_after,0.5026295900344848,54.65623901532596,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
online_min,balanced,12176,14395,1.0003473428273706,out,before,0.209769606590271,65.48098996714768,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False
online_min,balanced,12176,14395,1.0003473428273706,out,current_after,0.209769606590271,65.48098996714768,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False
online_min,balanced,12176,14395,1.0003473428273706,out,expanded_after,0.209769606590271,65.48098996714768,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False
m16k_tk20k,balanced,16384,19661,1.0001525863384364,gated,before,0.6481831789016723,57.88739064492755,m128_n192_cm2_cn1_pp1_dyn0_sw8,128,192,,,True,False,2,1,1,False,8,9,False
m16k_tk20k,balanced,16384,19661,1.0001525863384364,gated,current_after,0.6325376033782959,59.31921309682495,m128_n192_cm1_cn1_pp1_dyn0_sw8,128,192,,,True,False,1,1,1,False,8,9,False
m16k_tk20k,balanced,16384,19661,1.0001525863384364,gated,expanded_after,0.618127989768982,60.70204473441713,m128_n224_cm2_cn1_pp0_dyn0_sw4,128,224,,,False,False,2,1,1,False,4,9,False
m16k_tk20k,balanced,16384,19661,1.0001525863384364,out,before,0.2861071944236755,65.57268327721427,m256_n128_cm1_cn2_pp0_dyn0_sw8,256,128,,,False,False,1,2,1,False,8,9,False
m16k_tk20k,balanced,16384,19661,1.0001525863384364,out,current_after,0.2861071944236755,65.57268327721427,m256_n128_cm1_cn2_pp0_dyn0_sw8,256,128,,,False,False,1,2,1,False,8,9,False
m16k_tk20k,balanced,16384,19661,1.0001525863384364,out,expanded_after,0.28143359422683717,66.66160980111958,m256_n192_cm1_cn1_pp0_dyn0_sw8,256,192,,,False,False,1,1,1,False,8,9,False
m20k_tk24k,balanced,20000,24000,1.0,gated,before,0.7487768173217774,61.1695067675379,m256_n192_cm2_cn1_pp0_dyn0_sw8,256,192,,,False,False,2,1,1,False,8,9,False
m20k_tk24k,balanced,20000,24000,1.0,gated,current_after,0.7487768173217774,61.1695067675379,m256_n192_cm2_cn1_pp0_dyn0_sw8,256,192,,,False,False,2,1,1,False,8,9,False
m20k_tk24k,balanced,20000,24000,1.0,gated,expanded_after,0.7487768173217774,61.1695067675379,m256_n192_cm2_cn1_pp0_dyn0_sw8,256,192,,,False,False,2,1,1,False,8,9,False
m20k_tk24k,balanced,20000,24000,1.0,out,before,0.3367984056472778,67.99662324189826,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False
m20k_tk24k,balanced,20000,24000,1.0,out,current_after,0.3367984056472778,67.99662324189826,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False
m20k_tk24k,balanced,20000,24000,1.0,out,expanded_after,0.3367984056472778,67.99662324189826,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False
online_target,balanced,24497,29446,1.000339604700129,gated,before,1.0230696201324463,54.92843759662798,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
