case,distribution,tokens,routed_m,skew_ratio,op,rank,ms,mfu_percent,config,tile_m,tile_n,tile_k,num_warps,pingpong,is_dynamic_persistent,cluster_m,cluster_n,cluster_k,swap_ab,max_swizzle_size,device_capacity,use_tma_gather,error
online_max,random,28940,36560,1.037636761487965,gated,4,1.203000783920288,57.99845216917636,m128_n224_cm2_cn1_pp0_dyn0_sw8,128,224,,,False,False,2,1,1,False,8,9,False,
online_max,random,28940,36560,1.037636761487965,gated,5,1.2211904048919677,57.13456570423586,m128_n192_cm2_cn1_pp1_dyn0_sw4,128,192,,,True,False,2,1,1,False,4,9,False,
online_max,random,28940,36560,1.037636761487965,out,1,0.5036231994628906,69.27022375070676,m128_n192_cm1_cn2_pp1_dyn0_sw8,128,192,,,True,False,1,2,1,False,8,9,False,
online_max,random,28940,36560,1.037636761487965,out,2,0.5071887969970703,68.78324584334769,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False,
online_max,random,28940,36560,1.037636761487965,out,3,0.5158487796783447,67.62852426363075,m128_n128_cm1_cn2_pp1_dyn0_sw8,128,128,,,True,False,1,2,1,False,8,9,False,
online_max,random,28940,36560,1.037636761487965,out,4,0.516596007347107,67.53070332849258,m128_n192_cm2_cn1_pp1_dyn0_sw8,128,192,,,True,False,2,1,1,False,8,9,False,
online_max,random,28940,36560,1.037636761487965,out,5,0.519052791595459,67.2110665383549,m128_n192_cm1_cn2_pp1_dyn0_sw4,128,192,,,True,False,1,2,1,False,4,9,False,
m32k_tk42k,random,32768,42598,1.042678060002817,gated,1,1.3586944103240968,59.83338142744478,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False,
m32k_tk42k,random,32768,42598,1.042678060002817,gated,2,1.3914047718048095,58.42676591572247,m128_n256_cm2_cn1_pp0_dyn0_sw4,128,256,,,False,False,2,1,1,False,4,9,False,
m32k_tk42k,random,32768,42598,1.042678060002817,gated,3,1.4036704063415528,57.91621774526278,m128_n192_cm2_cn1_pp1_dyn0_sw4,128,192,,,True,False,2,1,1,False,4,9,False,
m32k_tk42k,random,32768,42598,1.042678060002817,gated,4,1.4140552043914796,57.49088199936523,m128_n192_cm1_cn1_pp1_dyn0_sw8,128,192,,,True,False,1,1,1,False,8,9,False,
m32k_tk42k,random,32768,42598,1.042678060002817,gated,5,1.4238183975219725,57.09666417974789,m128_n192_cm2_cn1_pp1_dyn0_sw8,128,192,,,True,False,2,1,1,False,8,9,False,
m32k_tk42k,random,32768,42598,1.042678060002817,out,1,0.5832584142684936,69.69061989291411,m128_n128_cm1_cn2_pp1_dyn0_sw8,128,128,,,True,False,1,2,1,False,8,9,False,
m32k_tk42k,random,32768,42598,1.042678060002817,out,2,0.5936095952987671,68.47537635854964,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False,
m32k_tk42k,random,32768,42598,1.042678060002817,out,3,0.597001600265503,68.08631740694211,m256_n128_cm1_cn2_pp0_dyn0_sw8,256,128,,,False,False,1,2,1,False,8,9,False,
m32k_tk42k,random,32768,42598,1.042678060002817,out,4,0.6082664012908936,66.82539157491676,m192_n128_cm2_cn1_pp1_dyn0_sw4,192,128,,,True,False,2,1,1,False,4,9,False,
m32k_tk42k,random,32768,42598,1.042678060002817,out,5,0.6094135999679565,66.69959523428211,m128_n192_cm2_cn1_pp1_dyn0_sw4,128,192,,,True,False,2,1,1,False,4,9,False,
m40k_tk52k,random,40960,53248,1.0375600961538463,gated,1,1.6764023780822754,60.61793795075289,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False,
m40k_tk52k,random,40960,53248,1.0375600961538463,gated,2,1.686630439758301,60.25033874619765,m128_n192_cm2_cn1_pp1_dyn0_sw8,128,192,,,True,False,2,1,1,False,8,9,False,
m40k_tk52k,random,40960,53248,1.0375600961538463,gated,3,1.696059989929199,59.915366165396065,m128_n192_cm2_cn1_pp1_dyn0_sw4,128,192,,,True,False,2,1,1,False,4,9,False,
m40k_tk52k,random,40960,53248,1.0375600961538463,gated,4,1.7399800300598143,58.40300094225369,m128_n224_cm2_cn1_pp0_dyn0_sw8,128,224,,,False,False,2,1,1,False,8,9,False,
m40k_tk52k,random,40960,53248,1.0375600961538463,gated,5,1.7618576049804688,57.6777913537527,m128_n256_cm1_cn1_pp0_dyn0_sw8,128,256,,,False,False,1,1,1,False,8,9,False,
m40k_tk52k,random,40960,53248,1.0375600961538463,out,1,0.7452255964279175,68.180733339126,m128_n192_cm1_cn2_pp1_dyn0_sw4,128,192,,,True,False,1,2,1,False,4,9,False,
m40k_tk52k,random,40960,53248,1.0375600961538463,out,2,0.7466360092163086,68.05193834794373,m256_n128_cm1_cn2_pp0_dyn0_sw8,256,128,,,False,False,1,2,1,False,8,9,False,
m40k_tk52k,random,40960,53248,1.0375600961538463,out,3,0.7502008199691772,67.72856855799031,m128_n192_cm1_cn2_pp1_dyn0_sw8,128,192,,,True,False,1,2,1,False,8,9,False,
m40k_tk52k,random,40960,53248,1.0375600961538463,out,4,0.7546720027923584,67.32729911741926,m128_n128_cm1_cn2_pp1_dyn0_sw8,128,128,,,True,False,1,2,1,False,8,9,False,
